epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,38.2413,0.78536,1.46252,1.08961,0.56109,0.57061,0.53869,0.46485,0.82655,2.55684,0.97353,0.000253036,0.000253036,0.000253036
75,38.715,0.63103,1.352,1.00149,0.81527,0.50431,0.63129,0.54809,0.85246,2.4771,0.99148,0.000247345,0.000247345,0.000247345
76,39.1693,0.79582,1.69413,1.17895,0.81527,0.50431,0.63129,0.54809,0.85246,2.4771,0.99148,0.000241406,0.000241406,0.000241406
77,39.6248,0.68501,1.34726,1.01209,0.81527,0.50431,0.63129,0.54809,0.85246,2.4771,0.99148,0.00023522,0.00023522,0.00023522
78,40.0953,0.72519,1.36588,1.11148,0.78124,0.65879,0.70073,0.56982,0.8619,2.32429,0.96129,0.000228786,0.000228786,0.000228786
79,40.5592,0.76905,1.4626,1.13701,0.78124,0.65879,0.70073,0.56982,0.8619,2.32429,0.96129,0.000222105,0.000222105,0.000222105
80,41.0181,0.59706,1.31084,0.97644,0.78124,0.65879,0.70073,0.56982,0.8619,2.32429,0.96129,0.000215176,0.000215176,0.000215176
81,41.4907,0.54025,1.23365,0.96724,0.74197,0.66667,0.70073,0.57133,0.858,2.14395,0.94538,0.000208,0.000208,0.000208
82,41.9531,0.80477,1.51662,1.12148,0.74197,0.66667,0.70073,0.57133,0.858,2.14395,0.94538,0.000200576,0.000200576,0.000200576
83,42.4079,0.71296,1.27745,1.03776,0.74197,0.66667,0.70073,0.57133,0.858,2.14395,0.94538,0.000192905,0.000192905,0.000192905
84,42.8828,0.65913,1.28549,1.05059,0.72024,0.66667,0.72875,0.61208,0.85958,2.03225,0.94185,0.000184986,0.000184986,0.000184986
85,43.3482,0.61266,1.28696,0.99126,0.72024,0.66667,0.72875,0.61208,0.85958,2.03225,0.94185,0.00017682,0.00017682,0.00017682
86,43.7992,0.83524,1.61982,1.16067,0.72024,0.66667,0.72875,0.61208,0.85958,2.03225,0.94185,0.000168406,0.000168406,0.000168406
87,44.2602,0.75687,1.37107,1.13177,0.72024,0.66667,0.72875,0.61208,0.85958,2.03225,0.94185,0.000159745,0.000159745,0.000159745
88,44.742,0.61002,1.24121,1.03261,0.73825,0.66667,0.7942,0.65946,0.84078,1.95902,0.93391,0.000150836,0.000150836,0.000150836
89,45.1981,0.68166,1.37129,1.07141,0.73825,0.66667,0.7942,0.65946,0.84078,1.95902,0.93391,0.00014168,0.00014168,0.00014168
